Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,AdminController.exportUsers,3,0.000000,1.000000,1.000000,0.000000,0.222222,0.181818,0.620690,0.181818,1
ldod-static,AdminController.exportUsers,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.272727,1.551724,0.272727,0
ldod-static,AdminController.exportUsers,2,0.000000,1.000000,1.000000,0.000000,0.444444,0.545455,0.827586,0.545455,0
ldod-static,VirtualEditionController.listVirtualEdition,0,0.000000,1.000000,1.000000,0.000000,0.266667,0.428571,1.016949,0.428571,0
ldod-static,VirtualEditionController.listVirtualEdition,2,0.000000,1.000000,1.000000,0.000000,0.333333,0.238095,1.372881,0.238095,0
ldod-static,VirtualEditionController.listVirtualEdition,1,0.000000,1.000000,1.000000,0.000000,0.400000,0.333333,0.610169,0.333333,1
ldod-static,SearchController.getVirtualEditions,1,0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,3.000000,0.500000,0
ldod-static,SearchController.getVirtualEditions,2,0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,0.250000,1
ldod-static,SearchController.getVirtualEditions,0,0.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,0.250000,0
ldod-static,RecommendationController.presentEditionWithRecommendation,2,0.500000,0.500000,0.500000,0.500000,0.181818,0.105263,1.500000,0.105263,1
ldod-static,RecommendationController.presentEditionWithRecommendation,0,0.000000,1.000000,1.000000,0.000000,0.272727,0.157895,1.000000,0.157895,0
ldod-static,RecommendationController.presentEditionWithRecommendation,1,0.333333,0.666667,0.785714,0.214286,0.545455,0.736842,0.500000,0.736842,0
ldod-static,VirtualEditionController.switchRole,1,0.250000,0.750000,0.857143,0.142857,0.500000,0.636364,1.714286,0.636364,0
ldod-static,VirtualEditionController.switchRole,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.090909,0.000000,0.090909,1
ldod-static,VirtualEditionController.switchRole,2,0.000000,1.000000,1.000000,0.000000,0.375000,0.272727,1.285714,0.272727,0
ldod-static,VirtualEditionController.removeClassificationGame,3,0.625000,0.375000,0.428571,0.571429,0.444444,0.466667,0.465517,0.466667,0
ldod-static,VirtualEditionController.removeClassificationGame,2,1.000000,0.000000,0.000000,1.000000,0.111111,0.066667,2.172414,0.066667,0
ldod-static,VirtualEditionController.removeClassificationGame,1,0.625000,0.375000,0.357143,0.642857,0.444444,0.466667,0.362069,0.466667,1
ldod-static,RecommendationController.setLinearVirtualEdition,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.272727,1.105263,0.272727,0
ldod-static,RecommendationController.setLinearVirtualEdition,1,0.333333,0.666667,0.785714,0.214286,0.500000,0.636364,0.473684,0.636364,0
ldod-static,RecommendationController.setLinearVirtualEdition,2,0.500000,0.500000,0.500000,0.500000,0.166667,0.090909,1.421053,0.090909,1
ldod-static,VirtualEditionController.approveParticipant,1,0.333333,0.666667,0.750000,0.250000,0.500000,0.571429,1.800000,0.571429,0
ldod-static,VirtualEditionController.approveParticipant,0,0.000000,1.000000,1.000000,0.000000,0.166667,0.142857,0.000000,0.142857,0
ldod-static,VirtualEditionController.approveParticipant,2,0.000000,1.000000,1.000000,0.000000,0.333333,0.285714,1.200000,0.285714,1
ldod-static,VirtualEditionController.mergeCategories,1,0.866667,0.133333,0.266667,0.733333,0.454545,0.500000,0.347295,0.500000,0
ldod-static,VirtualEditionController.mergeCategories,2,1.000000,0.000000,0.000000,1.000000,0.121212,0.066667,2.341029,0.066667,0
ldod-static,VirtualEditionController.mergeCategories,3,0.714286,0.285714,0.384615,0.615385,0.424242,0.433333,0.311675,0.433333,1
ldod-static,ClassificationGameController.end,3,0.666667,0.333333,0.722222,0.277778,0.461538,0.529412,0.670807,0.529412,0
ldod-static,ClassificationGameController.end,2,0.250000,0.750000,0.750000,0.250000,0.307692,0.117647,1.490683,0.117647,1
ldod-static,ClassificationGameController.end,1,0.666667,0.333333,0.500000,0.500000,0.230769,0.352941,0.838509,0.352941,0
ldod-static,ClassificationGameController.getActiveGames,0,0.000000,1.000000,1.000000,0.000000,0.250000,0.214286,1.363636,0.214286,0
ldod-static,ClassificationGameController.getActiveGames,2,0.000000,1.000000,1.000000,0.000000,0.166667,0.142857,1.090909,0.142857,0
ldod-static,ClassificationGameController.getActiveGames,1,0.000000,1.000000,1.000000,0.000000,0.333333,0.428571,0.727273,0.428571,0
ldod-static,ClassificationGameController.getActiveGames,3,0.000000,1.000000,1.000000,0.000000,0.250000,0.214286,0.818182,0.214286,1
ldod-static,VirtualEditionController.addParticipant,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.600000,1.714286,0.600000,0
ldod-static,VirtualEditionController.addParticipant,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.100000,0.000000,0.100000,1
ldod-static,VirtualEditionController.addParticipant,2,0.333333,0.666667,0.666667,0.333333,0.375000,0.300000,1.285714,0.300000,0
ldod-static,VirtualEditionController.createVirtualEdition,0,0.333333,0.666667,0.833333,0.166667,0.375000,0.434211,0.595760,0.434211,0
ldod-static,VirtualEditionController.createVirtualEdition,1,0.425000,0.575000,0.633803,0.366197,0.454545,0.467105,0.458901,0.467105,0
ldod-static,VirtualEditionController.createVirtualEdition,2,0.133333,0.866667,0.866667,0.133333,0.170455,0.098684,1.945339,0.098684,1
ldod-static,EditionController.getUserContributions,0,0.000000,1.000000,1.000000,0.000000,0.235294,0.181818,1.061947,0.181818,0
ldod-static,EditionController.getUserContributions,2,0.000000,1.000000,1.000000,0.000000,0.294118,0.227273,0.884956,0.227273,0
ldod-static,EditionController.getUserContributions,3,0.000000,1.000000,1.000000,0.000000,0.352941,0.500000,0.637168,0.500000,1
ldod-static,EditionController.getUserContributions,1,0.000000,1.000000,1.000000,0.000000,0.117647,0.090909,1.415929,0.090909,0
ldod-static,VirtualEditionController.generateTopicModelling,1,0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,1.500000,0.500000,0
ldod-static,VirtualEditionController.generateTopicModelling,2,0.000000,1.000000,1.000000,0.000000,0.166667,0.071429,0.000000,0.071429,1
ldod-static,VirtualEditionController.generateTopicModelling,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.428571,1.500000,0.428571,0
ldod-static,AdminController.loadUsersXML,0,0.363636,0.636364,0.636364,0.363636,0.440000,0.343750,1.150134,0.343750,0
ldod-static,AdminController.loadUsersXML,2,0.833333,0.166667,0.333333,0.666667,0.480000,0.562500,0.965147,0.562500,0
ldod-static,AdminController.loadUsersXML,3,1.000000,0.000000,0.333333,0.666667,0.080000,0.093750,0.884718,0.093750,1
ldod-static,APIVirtualEditionController.getVirtualEditions4User,1,0.000000,1.000000,1.000000,0.000000,0.463415,0.357143,0.321429,0.357143,1
ldod-static,APIVirtualEditionController.getVirtualEditions4User,0,0.000000,1.000000,1.000000,0.000000,0.390244,0.571429,0.492857,0.571429,0
ldod-static,APIVirtualEditionController.getVirtualEditions4User,2,0.000000,1.000000,1.000000,0.000000,0.146341,0.071429,2.185714,0.071429,0
ldod-static,SignupController.signup,0,0.461538,0.538462,0.538462,0.461538,0.162500,0.095588,1.945058,0.095588,0
ldod-static,SignupController.signup,2,0.620690,0.379310,0.488372,0.511628,0.362500,0.316176,0.631513,0.316176,0
ldod-static,SignupController.signup,1,0.857143,0.142857,0.302326,0.697674,0.262500,0.316176,0.671929,0.316176,0
ldod-static,SignupController.signup,3,0.705882,0.294118,0.432432,0.567568,0.212500,0.272059,0.751500,0.272059,1
ldod-static,FragmentController.createAnnotation,0,0.666667,0.333333,0.600000,0.400000,0.120000,0.081967,1.457311,0.081967,1
ldod-static,FragmentController.createAnnotation,1,0.500000,0.500000,0.630435,0.369565,0.480000,0.754098,0.635918,0.754098,0
ldod-static,FragmentController.createAnnotation,2,0.300000,0.700000,0.700000,0.300000,0.400000,0.163934,0.906771,0.163934,0
ldod-static,VirtualEditionController.createClassificationGame,1,0.500000,0.500000,0.666667,0.333333,0.444444,0.545455,0.750000,0.545455,0
ldod-static,VirtualEditionController.createClassificationGame,2,0.500000,0.500000,0.500000,0.500000,0.222222,0.181818,1.800000,0.181818,0
ldod-static,VirtualEditionController.createClassificationGame,3,1.000000,0.000000,0.000000,1.000000,0.333333,0.272727,0.450000,0.272727,1
ldod-static,VirtualEditionController.getEditions,0,0.000000,1.000000,1.000000,0.000000,0.473684,0.672414,1.500000,0.672414,0
ldod-static,VirtualEditionController.getEditions,1,0.000000,1.000000,1.000000,0.000000,0.473684,0.310345,1.500000,0.310345,1
ldod-static,VirtualEditionController.getEditions,2,0.000000,1.000000,1.000000,0.000000,0.052632,0.017241,0.000000,0.017241,0
ldod-static,AdminController.removeTweets,4,1.000000,0.000000,0.444444,0.555556,0.428571,0.600000,1.272727,0.600000,0
ldod-static,AdminController.removeTweets,1,1.000000,0.000000,0.333333,0.666667,0.142857,0.200000,0.909091,0.200000,1
ldod-static,AdminController.removeTweets,2,1.000000,0.000000,0.000000,1.000000,0.071429,0.033333,0.000000,0.033333,0
ldod-static,AdminController.removeTweets,0,0.600000,0.400000,0.400000,0.600000,0.357143,0.166667,1.818182,0.166667,0
ldod-static,VirtualEditionController.dissociate,1,0.800000,0.200000,0.422222,0.577778,0.465116,0.562500,0.518497,0.562500,0
ldod-static,VirtualEditionController.dissociate,2,0.714286,0.285714,0.285714,0.714286,0.162791,0.087500,2.427167,0.087500,0
ldod-static,VirtualEditionController.dissociate,3,0.714286,0.285714,0.384615,0.615385,0.325581,0.325000,0.626012,0.325000,0
ldod-static,VirtualEditionController.dissociate,0,1.000000,0.000000,0.000000,1.000000,0.046512,0.025000,0.428324,0.025000,1
ldod-static,VirtualEditionController.deleteTaxonomy,3,0.714286,0.285714,0.384615,0.615385,0.411765,0.382353,0.210000,0.382353,1
ldod-static,VirtualEditionController.deleteTaxonomy,1,0.875000,0.125000,0.263158,0.736842,0.470588,0.558824,0.270000,0.558824,0
ldod-static,VirtualEditionController.deleteTaxonomy,2,1.000000,0.000000,0.000000,1.000000,0.117647,0.058824,2.520000,0.058824,0
ldod-static,ClassificationGameController.getLeaderboard,0,0.000000,1.000000,1.000000,0.000000,0.200000,0.142857,0.000000,0.142857,0
ldod-static,ClassificationGameController.getLeaderboard,1,0.000000,1.000000,1.000000,0.000000,0.200000,0.142857,0.000000,0.142857,0
ldod-static,ClassificationGameController.getLeaderboard,3,0.000000,1.000000,1.000000,0.000000,0.400000,0.571429,4.000000,0.571429,0
ldod-static,ClassificationGameController.getLeaderboard,2,0.000000,1.000000,1.000000,0.000000,0.200000,0.142857,0.000000,0.142857,1
ldod-static,VirtualEditionController.deleteCategory,2,1.000000,0.000000,0.000000,1.000000,0.117647,0.064516,2.520000,0.064516,1
ldod-static,VirtualEditionController.deleteCategory,3,0.714286,0.285714,0.384615,0.615385,0.411765,0.419355,0.210000,0.419355,0
ldod-static,VirtualEditionController.deleteCategory,1,0.875000,0.125000,0.312500,0.687500,0.470588,0.516129,0.270000,0.516129,0
ldod-static,FragmentController.getTaxonomy,1,0.400000,0.600000,0.750000,0.250000,0.454545,0.571429,1.333333,0.571429,1
ldod-static,FragmentController.getTaxonomy,2,0.400000,0.600000,0.600000,0.400000,0.454545,0.357143,1.666667,0.357143,0
ldod-static,FragmentController.getTaxonomy,0,0.000000,1.000000,1.000000,0.000000,0.090909,0.071429,0.000000,0.071429,0
ldod-static,FragmentController.searchAnnotations,1,0.000000,1.000000,1.000000,0.000000,0.500000,0.769231,1.200000,0.769231,1
ldod-static,FragmentController.searchAnnotations,2,0.000000,1.000000,1.000000,0.000000,0.416667,0.192308,1.800000,0.192308,0
ldod-static,FragmentController.searchAnnotations,0,0.000000,1.000000,1.000000,0.000000,0.083333,0.038462,0.000000,0.038462,0
ldod-static,APIVirtualEditionController.getVirtualEditionIndex,2,0.000000,1.000000,1.000000,0.000000,0.052632,0.017857,0.000000,0.017857,1
ldod-static,APIVirtualEditionController.getVirtualEditionIndex,0,0.000000,1.000000,1.000000,0.000000,0.473684,0.660714,1.500000,0.660714,0
ldod-static,APIVirtualEditionController.getVirtualEditionIndex,1,0.000000,1.000000,1.000000,0.000000,0.473684,0.321429,1.500000,0.321429,0
ldod-static,FragmentController.getInter,0,0.000000,1.000000,1.000000,0.000000,0.571429,0.903226,1.500000,0.903226,1
ldod-static,FragmentController.getInter,2,0.000000,1.000000,1.000000,0.000000,0.142857,0.032258,0.000000,0.032258,0
ldod-static,FragmentController.getInter,1,0.000000,1.000000,1.000000,0.000000,0.285714,0.064516,1.500000,0.064516,0
ldod-static,FragmentController.getFragmentWithInterForUrlId,0,0.000000,1.000000,1.000000,0.000000,0.315789,0.692308,1.608248,0.692308,0
ldod-static,FragmentController.getFragmentWithInterForUrlId,1,0.250000,0.750000,0.818182,0.181818,0.421053,0.211538,0.618557,0.211538,1
ldod-static,FragmentController.getFragmentWithInterForUrlId,2,0.400000,0.600000,0.600000,0.400000,0.263158,0.096154,0.773196,0.096154,0
ldod-static,FragmentController.updateAnnotation,2,0.333333,0.666667,0.666667,0.333333,0.324324,0.130435,1.997399,0.130435,1
ldod-static,FragmentController.updateAnnotation,3,0.714286,0.285714,0.384615,0.615385,0.189189,0.141304,0.915475,0.141304,0
ldod-static,FragmentController.updateAnnotation,0,0.000000,1.000000,1.000000,0.000000,0.027027,0.032609,0.000000,0.032609,0
ldod-static,FragmentController.updateAnnotation,1,0.470588,0.529412,0.671875,0.328125,0.459459,0.695652,1.087126,0.695652,0
ldod-static,AdminController.loadVirtualFragments,0,0.333333,0.666667,0.821429,0.178571,0.340909,0.312849,1.188245,0.312849,0
ldod-static,AdminController.loadVirtualFragments,1,0.656250,0.343750,0.539326,0.460674,0.363636,0.497207,0.804940,0.497207,0
ldod-static,AdminController.loadVirtualFragments,2,0.375000,0.625000,0.625000,0.375000,0.181818,0.089385,1.148637,0.089385,0
ldod-static,AdminController.loadVirtualFragments,3,0.900000,0.100000,0.277778,0.722222,0.113636,0.100559,0.858177,0.100559,1
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,0,0.000000,1.000000,1.000000,0.000000,0.434783,0.622951,0.312796,0.622951,0
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,2,0.000000,1.000000,1.000000,0.000000,0.130435,0.049180,2.431280,0.049180,0
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,1,0.000000,1.000000,1.000000,0.000000,0.434783,0.327869,0.255924,0.327869,1
ldod-static,AdminController.removeUser,2,0.571429,0.428571,0.517241,0.482759,0.333333,0.256637,1.159011,0.256637,0
ldod-static,AdminController.removeUser,1,0.857143,0.142857,0.302326,0.697674,0.333333,0.380531,1.074205,0.380531,0
ldod-static,AdminController.removeUser,3,0.705882,0.294118,0.432432,0.567568,0.269841,0.327434,1.201414,0.327434,0
ldod-static,AdminController.removeUser,0,0.750000,0.250000,0.250000,0.750000,0.063492,0.035398,0.565371,0.035398,1
ldod-static,FragmentController.deleteAnnotation,1,0.769231,0.230769,0.360000,0.640000,0.481481,0.555556,0.571429,0.555556,0
ldod-static,FragmentController.deleteAnnotation,2,0.600000,0.400000,0.400000,0.600000,0.185185,0.111111,2.448980,0.111111,0
ldod-static,FragmentController.deleteAnnotation,0,1.000000,0.000000,0.000000,1.000000,0.074074,0.044444,0.489796,0.044444,0
ldod-static,FragmentController.deleteAnnotation,3,0.714286,0.285714,0.384615,0.615385,0.259259,0.288889,0.489796,0.288889,1
ldod-static,VirtualEditionController.editVirtualEdition,4,0.500000,0.500000,0.574074,0.425926,0.367816,0.415385,0.224082,0.415385,1
ldod-static,VirtualEditionController.editVirtualEdition,1,0.459459,0.540541,0.589286,0.410714,0.425287,0.430769,0.253894,0.430769,0
ldod-static,VirtualEditionController.editVirtualEdition,0,0.181818,0.818182,0.846154,0.153846,0.126437,0.100000,1.206506,0.100000,0
ldod-static,VirtualEditionController.editVirtualEdition,2,0.571429,0.428571,0.428571,0.571429,0.080460,0.053846,2.315517,0.053846,0
ldod-static,RecommendationController.createLinearVirtualEdition,1,0.538462,0.461538,0.596154,0.403846,0.481481,0.495238,0.707865,0.495238,0
ldod-static,RecommendationController.createLinearVirtualEdition,0,0.413043,0.586957,0.802083,0.197917,0.425926,0.457143,0.859551,0.457143,1
ldod-static,RecommendationController.createLinearVirtualEdition,2,0.200000,0.800000,0.800000,0.200000,0.092593,0.047619,1.432584,0.047619,0
ldod-static,VirtualEditionController.associateCategory,1,0.642857,0.357143,0.571429,0.428571,0.466667,0.646154,0.255954,0.646154,0
ldod-static,VirtualEditionController.associateCategory,2,0.538462,0.461538,0.461538,0.538462,0.216667,0.100000,0.854557,0.100000,0
ldod-static,VirtualEditionController.associateCategory,0,0.400000,0.600000,0.714286,0.285714,0.083333,0.053846,2.563671,0.053846,1
ldod-static,VirtualEditionController.associateCategory,3,0.714286,0.285714,0.384615,0.615385,0.233333,0.200000,0.325818,0.200000,0
ldod-static,AdminController.exportVirtualEditions,0,0.000000,1.000000,1.000000,0.000000,0.271186,0.195876,0.757701,0.195876,0
ldod-static,AdminController.exportVirtualEditions,2,0.000000,1.000000,1.000000,0.000000,0.220339,0.154639,1.437019,0.154639,0
ldod-static,AdminController.exportVirtualEditions,3,0.000000,1.000000,1.000000,0.000000,0.152542,0.164948,2.351485,0.164948,0
ldod-static,AdminController.exportVirtualEditions,1,0.000000,1.000000,1.000000,0.000000,0.338983,0.432990,0.453795,0.432990,0
ldod-static,AdminController.exportVirtualEditions,4,0.000000,1.000000,1.000000,0.000000,0.016949,0.051546,0.000000,0.051546,1
ldod-static,RecommendationController.createSectionVirtualEdition,2,0.722222,0.277778,0.277778,0.722222,0.097297,0.047244,1.475856,0.047244,0
ldod-static,RecommendationController.createSectionVirtualEdition,0,0.557692,0.442308,0.614173,0.385827,0.281081,0.333333,0.407349,0.333333,0
ldod-static,RecommendationController.createSectionVirtualEdition,1,0.722892,0.277108,0.448276,0.551724,0.448649,0.456693,0.192937,0.456693,0
ldod-static,RecommendationController.createSectionVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.151351,0.141732,0.313693,0.141732,0
ldod-static,RecommendationController.createSectionVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.021622,0.020997,2.610166,0.020997,1
ldod-static,VirtualEditionController.reorderVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.137255,0.129187,0.533606,0.129187,0
ldod-static,VirtualEditionController.reorderVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.019608,0.019139,0.408052,0.019139,1
ldod-static,VirtualEditionController.reorderVirtualEdition,1,0.617021,0.382979,0.510870,0.489130,0.460784,0.440191,0.487888,0.440191,0
ldod-static,VirtualEditionController.reorderVirtualEdition,0,0.441176,0.558824,0.691358,0.308642,0.333333,0.387560,0.816104,0.387560,0
ldod-static,VirtualEditionController.reorderVirtualEdition,2,1.000000,0.000000,0.000000,1.000000,0.049020,0.023923,2.754350,0.023923,0
ldod-static,AdminController.deleteAllFragments,2,1.000000,0.000000,0.000000,1.000000,0.086957,0.032086,2.707456,0.032086,0
ldod-static,AdminController.deleteAllFragments,3,0.714286,0.285714,0.407407,0.592593,0.202899,0.144385,0.361278,0.144385,1
ldod-static,AdminController.deleteAllFragments,4,1.000000,0.000000,0.368421,0.631579,0.115942,0.101604,0.513075,0.101604,0
ldod-static,AdminController.deleteAllFragments,0,0.937500,0.062500,0.400000,0.600000,0.231884,0.454545,0.957740,0.454545,0
ldod-static,AdminController.deleteAllFragments,1,0.800000,0.200000,0.340000,0.660000,0.362319,0.267380,0.460452,0.267380,0
ldod-static,AdminController.deleteFragment,0,0.937500,0.062500,0.400000,0.600000,0.231884,0.454545,0.957740,0.454545,0
ldod-static,AdminController.deleteFragment,1,0.800000,0.200000,0.340000,0.660000,0.362319,0.267380,0.460452,0.267380,0
ldod-static,AdminController.deleteFragment,2,1.000000,0.000000,0.000000,1.000000,0.086957,0.032086,2.707456,0.032086,0
ldod-static,AdminController.deleteFragment,3,0.714286,0.285714,0.407407,0.592593,0.202899,0.144385,0.361278,0.144385,1
ldod-static,AdminController.deleteFragment,4,1.000000,0.000000,0.368421,0.631579,0.115942,0.101604,0.513075,0.101604,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,2,1.000000,0.000000,0.000000,1.000000,0.048780,0.015190,3.032270,0.015190,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,3,0.714286,0.285714,0.407407,0.592593,0.113821,0.068354,0.404620,0.068354,1
ldod-static,AdminController.loadTEIFragmentsAtOnce,4,1.000000,0.000000,0.368421,0.631579,0.065041,0.048101,0.574628,0.048101,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,0,0.558140,0.441860,0.596639,0.403361,0.349593,0.602532,0.581995,0.602532,0
ldod-static,AdminController.loadTEIFragmentsAtOnce,1,0.596154,0.403846,0.533333,0.466667,0.422764,0.265823,0.406487,0.265823,0
ldod-static,RecommendationController.saveLinearVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.274510,0.247706,0.298643,0.247706,0
ldod-static,RecommendationController.saveLinearVirtualEdition,4,1.000000,0.000000,0.250000,0.750000,0.039216,0.036697,2.484932,0.036697,1
ldod-static,RecommendationController.saveLinearVirtualEdition,0,0.823529,0.176471,0.358491,0.641509,0.166667,0.243119,0.789219,0.243119,0
ldod-static,RecommendationController.saveLinearVirtualEdition,1,0.860465,0.139535,0.322581,0.677419,0.421569,0.426605,0.210096,0.426605,0
ldod-static,RecommendationController.saveLinearVirtualEdition,2,1.000000,0.000000,0.000000,1.000000,0.098039,0.045872,1.217109,0.045872,0
ldod-static,VirtualEditionController.deleteVirtualEdition,2,0.944444,0.055556,0.055556,0.944444,0.124138,0.061433,0.799100,0.061433,0
ldod-static,VirtualEditionController.deleteVirtualEdition,4,1.000000,0.000000,0.300000,0.700000,0.034483,0.034130,2.902713,0.034130,1
ldod-static,VirtualEditionController.deleteVirtualEdition,1,0.841270,0.158730,0.330827,0.669173,0.434483,0.453925,0.153563,0.453925,0
ldod-static,VirtualEditionController.deleteVirtualEdition,0,0.882353,0.117647,0.313726,0.686275,0.117241,0.174061,0.892584,0.174061,0
ldod-static,VirtualEditionController.deleteVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.289655,0.276451,0.252040,0.276451,0
ldod-static,AdminController.deleteVirtualEdition,1,0.841270,0.158730,0.330827,0.669173,0.434483,0.453925,0.153563,0.453925,0
ldod-static,AdminController.deleteVirtualEdition,0,0.882353,0.117647,0.313726,0.686275,0.117241,0.174061,0.892584,0.174061,0
ldod-static,AdminController.deleteVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.289655,0.276451,0.252040,0.276451,0
ldod-static,AdminController.deleteVirtualEdition,2,0.944444,0.055556,0.055556,0.944444,0.124138,0.061433,0.799100,0.061433,0
ldod-static,AdminController.deleteVirtualEdition,4,1.000000,0.000000,0.300000,0.700000,0.034483,0.034130,2.902713,0.034130,1
ldod-static,AdminController.loadVirtualCorpus,2,0.740741,0.259259,0.259259,0.740741,0.115880,0.060811,1.198550,0.060811,0
ldod-static,AdminController.loadVirtualCorpus,1,0.740385,0.259615,0.401914,0.598086,0.446352,0.470721,0.208941,0.470721,0
ldod-static,AdminController.loadVirtualCorpus,3,0.714286,0.285714,0.407407,0.592593,0.180258,0.182432,0.373729,0.182432,0
ldod-static,AdminController.loadVirtualCorpus,4,1.000000,0.000000,0.318182,0.681818,0.055794,0.049550,2.582510,0.049550,1
ldod-static,AdminController.loadVirtualCorpus,0,0.553191,0.446809,0.561905,0.438095,0.201717,0.236486,0.636271,0.236486,0
ldod-static,AdminController.generateCitations,0,0.295455,0.704545,0.775000,0.225000,0.324723,0.310680,0.433212,0.310680,0
ldod-static,AdminController.generateCitations,4,0.412500,0.587500,0.676829,0.323171,0.295203,0.318447,0.506564,0.318447,0
ldod-static,AdminController.generateCitations,1,0.573333,0.426667,0.513333,0.486667,0.276753,0.291262,0.460674,0.291262,0
ldod-static,AdminController.generateCitations,2,0.857143,0.142857,0.142857,0.857143,0.051661,0.027184,3.322662,0.027184,1
ldod-static,AdminController.generateCitations,3,0.714286,0.285714,0.407407,0.592593,0.051661,0.052427,0.276889,0.052427,0
